,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Playing Time,Playing Time,Playing Time,Playing Time,Progression,Progression,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,season
,npxG,npxG+xAG,xAG,xG,Ast,G+A,G+A-PK,G-PK,Gls,npxG,npxG+xAG,xAG,xG,xG+xAG,Ast,CrdR,CrdY,G+A,G-PK,Gls,PK,PKatt,90s,MP,Min,Starts,PrgC,PrgP,Squad,# Pl,Age,Poss,
37,52.4,95.5,43.1,57.1,1.21,3.0,2.87,1.66,1.79,1.38,2.51,1.13,1.5,2.64,46,3.0,77.0,114,63,68,5,6,38.0,38,3420,418,692.0,1449.0,Tottenham,29,27.6,50.0,2022-2023
38,43.7,76.4,32.7,49.2,0.66,1.74,1.58,0.92,1.08,1.15,2.01,0.86,1.29,2.15,25,0.0,44.0,66,35,41,6,8,38.0,38,3420,418,614.0,1274.0,West Ham,25,28.2,42.1,2022-2023
39,34.5,59.9,25.4,36.8,0.32,1.05,0.97,0.66,0.74,0.91,1.58,0.67,0.97,1.64,12,6.0,85.0,40,25,28,3,3,38.0,38,3420,418,610.0,1343.0,Wolves,32,26.7,49.9,2022-2023
40,55.1,95.4,40.2,60.5,1.08,2.66,2.53,1.45,1.58,1.45,2.51,1.06,1.59,2.65,41,4.0,67.0,101,55,60,5,8,38.0,38,3420,418,734.0,1655.0,Arsenal,27,24.4,52.8,2021-2022
41,42.0,76.8,34.8,44.0,1.11,2.42,2.34,1.24,1.32,1.1,2.02,0.92,1.16,2.08,42,2.0,81.0,92,47,50,3,3,38.0,38,3420,418,653.0,1300.0,Aston Villa,31,26.1,46.5,2021-2022
42,41.1,74.1,33.0,45.8,0.87,2.08,1.92,1.05,1.21,1.08,1.95,0.87,1.21,2.07,33,3.0,65.0,79,40,46,6,6,38.0,38,3420,418,450.0,1189.0,Brentford,29,25.4,44.8,2021-2022
43,40.7,72.9,32.3,46.2,0.79,1.84,1.74,0.95,1.05,1.07,1.92,0.85,1.21,2.06,30,2.0,72.0,70,36,40,4,7,38.0,38,3420,418,676.0,1547.0,Brighton,26,26.2,54.4,2021-2022
44,38.1,69.3,31.2,39.7,0.68,1.53,1.5,0.82,0.84,1.0,1.82,0.82,1.05,1.87,26,2.0,68.0,58,31,32,1,2,38.0,38,3420,418,388.0,972.0,Burnley,23,28.5,40.2,2021-2022
45,56.6,101.5,44.9,63.4,1.37,3.34,3.13,1.76,1.97,1.49,2.67,1.18,1.67,2.85,52,1.0,63.0,127,67,75,8,9,38.0,38,3420,418,894.0,1967.0,Chelsea,26,27.4,61.8,2021-2022
46,40.1,71.1,31.0,46.4,0.82,2.13,1.97,1.16,1.32,1.06,1.87,0.82,1.22,2.04,31,1.0,69.0,81,44,50,6,8,38.0,38,3420,418,592.0,1229.0,Crystal Palace,24,27.1,51.1,2021-2022
47,35.8,64.3,28.5,41.2,0.76,1.87,1.71,0.95,1.11,0.94,1.69,0.75,1.09,1.83,29,6.0,82.0,71,36,42,6,7,38.0,38,3420,418,512.0,1100.0,Everton,33,26.7,40.0,2021-2022
48,40.4,71.8,31.3,44.4,0.68,1.79,1.66,0.97,1.11,1.06,1.89,0.82,1.17,1.99,26,3.0,101.0,68,37,42,5,5,38.0,38,3420,418,671.0,1483.0,Leeds United,29,26.1,52.3,2021-2022
