,Squad,npxG,npxG,npxG+xAG,npxG+xAG,xAG,xAG,xG,xG,Ast,Ast,G+A,G+A,G+A-PK,G-PK,G-PK,Gls,Gls,xG+xAG,CrdR,CrdY,PK,PKatt,90s,MP,Min,Starts,PrgC,PrgP,# Pl,Age,Poss,Season
268,Everton,,,,,,,,,0.87,33,2.18,83,2.11,1.24,47,1.32,50,,5.0,56.0,3,4,38.0,38,3420,418,,,24,28.1,,2010-2011
269,Fulham,,,,,,,,,0.84,32,2.11,80,2.05,1.21,46,1.26,48,,1.0,52.0,2,3,38.0,38,3420,418,,,29,29.8,,2010-2011
270,Liverpool,,,,,,,,,0.79,30,2.32,88,2.13,1.34,51,1.53,58,,2.0,63.0,7,8,38.0,38,3420,418,,,30,26.9,,2010-2011
271,Manchester City,,,,,,,,,0.92,35,2.39,91,2.18,1.26,48,1.47,56,,5.0,71.0,8,9,38.0,38,3420,418,,,27,25.4,,2010-2011
272,Manchester Utd,,,,,,,,,1.55,59,3.53,134,3.45,1.89,72,1.97,75,,3.0,56.0,3,5,38.0,38,3420,418,,,29,28.3,,2010-2011
273,Newcastle Utd,,,,,,,,,0.92,35,2.37,90,2.24,1.32,50,1.45,55,,2.0,78.0,5,5,38.0,38,3420,418,,,30,26.3,,2010-2011
274,Stoke City,,,,,,,,,0.74,28,1.89,72,1.82,1.08,41,1.16,44,,2.0,69.0,3,3,38.0,38,3420,418,,,25,27.6,,2010-2011
275,Sunderland,,,,,,,,,0.61,23,1.68,64,1.58,0.97,37,1.08,41,,5.0,56.0,4,5,38.0,38,3420,418,,,31,25.0,,2010-2011
276,Tottenham,,,,,,,,,0.89,34,2.32,88,2.18,1.29,49,1.42,54,,2.0,50.0,5,5,38.0,38,3420,418,,,28,26.6,,2010-2011
277,West Brom,,,,,,,,,0.97,37,2.34,89,2.24,1.26,48,1.37,52,,7.0,51.0,4,6,38.0,38,3420,418,,,28,26.7,,2010-2011
278,West Ham,,,,,,,,,0.55,21,1.63,62,1.5,0.95,36,1.08,41,,1.0,58.0,5,6,38.0,38,3420,418,,,35,27.9,,2010-2011
279,Wigan Athletic,,,,,,,,,0.53,20,1.5,57,1.45,0.92,35,0.97,37,,4.0,67.0,2,3,38.0,38,3420,418,,,25,25.8,,2010-2011
280,Wolves,,,,,,,,,0.76,29,1.95,74,1.87,1.11,42,1.18,45,,2.0,62.0,3,3,38.0,38,3420,418,,,30,25.8,,2010-2011
281,Arsenal,,,,,,,,,1.39,53,3.47,132,3.39,2.0,76,2.08,79,,1.0,56.0,3,4,38.0,38,3420,418,,,30,25.3,,2009-2010
282,Aston Villa,,,,,,,,,0.89,34,2.16,82,2.03,1.13,43,1.26,48,,2.0,58.0,5,8,38.0,38,3420,418,,,23,27.9,,2009-2010
283,Birmingham City,,,,,,,,,0.58,22,1.53,58,1.47,0.89,34,0.95,36,,1.0,73.0,2,4,38.0,38,3420,418,,,25,26.8,,2009-2010
284,Blackburn,,,,,,,,,0.58,22,1.58,60,1.5,0.92,35,1.0,38,,2.0,57.0,3,3,38.0,38,3420,417,,,28,27.3,,2009-2010
285,Bolton,,,,,,,,,0.63,24,1.74,66,1.63,1.0,38,1.11,42,,5.0,72.0,4,4,38.0,38,3420,418,,,25,27.4,,2009-2010
286,Burnley,,,,,,,,,0.66,25,1.76,67,1.61,0.95,36,1.11,42,,2.0,55.0,6,6,38.0,38,3420,418,,,27,27.9,,2009-2010
287,Chelsea,,,,,,,,,1.68,64,4.29,163,4.0,2.32,88,2.61,99,,5.0,54.0,11,12,38.0,38,3420,418,,,30,28.7,,2009-2010
288,Everton,,,,,,,,,0.87,33,2.34,89,2.21,1.34,51,1.47,56,,2.0,57.0,5,6,38.0,38,3420,418,,,28,27.4,,2009-2010
289,Fulham,,,,,,,,,0.55,21,1.55,59,1.45,0.89,34,1.0,38,,1.0,46.0,4,4,38.0,38,3420,418,,,29,29.2,,2009-2010
290,Hull City,,,,,,,,,0.42,16,1.29,49,1.13,0.71,27,0.87,33,,6.0,63.0,6,8,38.0,38,3420,418,,,30,27.7,,2009-2010
291,Liverpool,,,,,,,,,0.97,37,2.5,95,2.42,1.45,55,1.53,58,,5.0,55.0,3,3,38.0,38,3420,418,,,30,26.3,,2009-2010
292,Manchester City,,,,,,,,,1.26,48,3.18,121,3.05,1.79,68,1.92,73,,2.0,49.0,5,5,38.0,38,3420,418,,,31,27.0,,2009-2010
293,Manchester Utd,,,,,,,,,1.26,48,3.21,122,3.05,1.79,68,1.95,74,,4.0,48.0,6,8,38.0,38,3420,418,,,30,27.8,,2009-2010
294,Portsmouth,,,,,,,,,0.5,19,1.39,53,1.32,0.82,31,0.89,34,,5.0,68.0,3,6,38.0,38,3420,418,,,33,28.2,,2009-2010
295,Stoke City,,,,,,,,,0.61,23,1.45,55,1.39,0.79,30,0.84,32,,5.0,62.0,2,2,38.0,38,3420,418,,,23,28.5,,2009-2010
296,Sunderland,,,,,,,,,0.74,28,1.92,73,1.76,1.03,39,1.18,45,,9.0,78.0,6,9,38.0,38,3420,418,,,28,25.4,,2009-2010
297,Tottenham,,,,,,,,,1.18,45,2.92,111,2.87,1.68,64,1.74,66,,1.0,57.0,2,3,38.0,38,3420,418,,,30,25.4,,2009-2010
298,West Ham,,,,,,,,,0.71,27,1.92,73,1.74,1.03,39,1.21,46,,3.0,63.0,7,9,38.0,38,3420,418,,,30,26.0,,2009-2010
299,Wigan Athletic,,,,,,,,,0.55,21,1.5,57,1.47,0.92,35,0.95,36,,3.0,63.0,1,2,38.0,38,3420,418,,,27,26.3,,2009-2010
300,Wolves,,,,,,,,,0.39,15,1.13,43,1.08,0.68,26,0.74,28,,4.0,61.0,2,2,38.0,38,3420,418,,,29,25.9,,2009-2010
301,Arsenal,,,,,,,,,1.26,48,2.97,113,2.84,1.58,60,1.71,65,,3.0,58.0,5,5,38.0,38,3420,418,,,28,24.1,,2008-2009
302,Aston Villa,,,,,,,,,0.92,35,2.18,83,2.08,1.16,44,1.26,48,,2.0,53.0,4,5,38.0,38,3420,418,,,21,27.1,,2008-2009
303,Blackburn,,,,,,,,,0.74,28,1.79,68,1.68,0.95,36,1.05,40,,4.0,73.0,4,7,38.0,38,3420,418,,,28,28.3,,2008-2009
304,Bolton,,,,,,,,,0.74,28,1.79,68,1.79,1.05,40,1.05,40,,1.0,62.0,0,1,38.0,38,3420,418,,,24,27.3,,2008-2009
305,Chelsea,,,,,,,,,1.18,45,2.89,110,2.84,1.66,63,1.71,65,,2.0,50.0,2,2,38.0,38,3420,418,,,29,27.5,,2008-2009
306,Everton,,,,,,,,,1.0,38,2.42,92,2.32,1.32,50,1.42,54,,1.0,49.0,4,5,38.0,38,3420,417,,,25,26.4,,2008-2009
307,Fulham,,,,,,,,,0.63,24,1.66,63,1.53,0.89,34,1.03,39,,1.0,40.0,5,5,38.0,38,3420,418,,,26,28.8,,2008-2009
308,Hull City,,,,,,,,,0.45,17,1.37,52,1.29,0.84,32,0.92,35,,3.0,70.0,3,3,38.0,38,3420,418,,,29,27.7,,2008-2009
309,Liverpool,,,,,,,,,1.32,50,3.24,123,3.11,1.79,68,1.92,73,,0.0,50.0,5,6,38.0,38,3420,418,,,23,26.5,,2008-2009
310,Manchester City,,,,,,,,,0.92,35,2.39,91,2.24,1.32,50,1.47,56,,4.0,49.0,6,7,38.0,38,3420,418,,,34,24.5,,2008-2009
311,Manchester Utd,,,,,,,,,1.34,51,3.13,119,3.03,1.68,64,1.79,68,,5.0,61.0,4,4,38.0,38,3420,418,,,33,27.1,,2008-2009
312,Middlesbrough,,,,,,,,,0.45,17,1.13,43,1.11,0.66,25,0.68,26,,3.0,54.0,1,3,38.0,38,3420,418,,,28,24.5,,2008-2009
313,Newcastle Utd,,,,,,,,,0.61,23,1.63,62,1.53,0.92,35,1.03,39,,8.0,57.0,4,5,38.0,38,3420,417,,,29,26.8,,2008-2009
314,Portsmouth,,,,,,,,,0.66,25,1.61,61,1.55,0.89,34,0.95,36,,5.0,57.0,2,3,38.0,38,3420,417,,,29,28.6,,2008-2009
315,Stoke City,,,,,,,,,0.61,23,1.55,59,1.42,0.82,31,0.95,36,,5.0,73.0,5,6,38.0,38,3420,418,,,29,28.5,,2008-2009
316,Sunderland,,,,,,,,,0.5,19,1.34,51,1.32,0.82,31,0.84,32,,1.0,69.0,1,1,38.0,38,3420,418,,,30,26.1,,2008-2009
317,Tottenham,,,,,,,,,0.79,30,1.92,73,1.84,1.05,40,1.13,43,,5.0,54.0,3,4,38.0,38,3420,418,,,29,24.9,,2008-2009
318,West Brom,,,,,,,,,0.61,23,1.5,57,1.42,0.82,31,0.89,34,,1.0,66.0,3,5,38.0,38,3420,418,,,30,25.2,,2008-2009
319,West Ham,,,,,,,,,0.66,25,1.74,66,1.71,1.05,40,1.08,41,,4.0,66.0,1,3,38.0,38,3420,418,,,30,26.6,,2008-2009
320,Wigan Athletic,,,,,,,,,0.39,15,1.26,48,1.13,0.74,28,0.87,33,,4.0,59.0,5,5,38.0,38,3420,418,,,29,26.5,,2008-2009
321,Arsenal,,,,,,,,,1.5,57,3.42,130,3.29,1.79,68,1.92,73,,3.0,57.0,5,6,38.0,38,3420,418,,,27,24.6,,2007-2008
322,Aston Villa,,,,,,,,,1.11,42,2.84,108,2.68,1.58,60,1.74,66,,4.0,56.0,6,7,38.0,38,3420,418,,,22,25.5,,2007-2008
323,Birmingham City,,,,,,,,,0.55,21,1.71,65,1.55,1.0,38,1.16,44,,3.0,68.0,6,6,38.0,38,3420,418,,,28,25.3,,2007-2008
324,Blackburn,,,,,,,,,0.84,32,2.16,82,2.03,1.18,45,1.32,50,,6.0,74.0,5,6,38.0,38,3420,418,,,22,28.0,,2007-2008
325,Bolton,,,,,,,,,0.58,22,1.47,56,1.47,0.89,34,0.89,34,,0.0,76.0,0,1,38.0,38,3420,417,,,31,27.5,,2007-2008
326,Chelsea,,,,,,,,,1.37,52,3.05,116,2.87,1.5,57,1.68,64,,5.0,65.0,7,7,38.0,38,3420,417,,,27,27.0,,2007-2008
327,Derby County,,,,,,,,,0.32,12,0.82,31,0.82,0.5,19,0.5,19,,1.0,63.0,0,0,38.0,38,3420,418,,,36,27.6,,2007-2008
328,Everton,,,,,,,,,0.79,30,2.18,83,2.16,1.37,52,1.39,53,,3.0,40.0,1,1,38.0,38,3420,420,,,23,26.9,,2007-2008
329,Fulham,,,,,,,,,0.45,17,1.42,54,1.37,0.92,35,0.97,37,,6.0,60.0,2,3,38.0,38,3420,418,,,33,28.0,,2007-2008
330,Liverpool,,,,,,,,,1.13,43,2.82,107,2.68,1.55,59,1.68,64,,1.0,46.0,5,5,38.0,38,3420,418,,,25,26.2,,2007-2008
331,Manchester City,,,,,,,,,0.79,30,1.89,72,1.84,1.05,40,1.11,42,,4.0,51.0,2,2,38.0,38,3420,418,,,28,24.5,,2007-2008
332,Manchester Utd,,,,,,,,,1.37,52,3.42,130,3.26,1.89,72,2.05,78,,2.0,51.0,6,8,38.0,38,3420,418,,,25,26.7,,2007-2008
333,Middlesbrough,,,,,,,,,0.71,27,1.84,70,1.79,1.08,41,1.13,43,,2.0,86.0,2,2,38.0,38,3420,416,,,30,25.7,,2007-2008
334,Newcastle Utd,,,,,,,,,0.71,27,1.84,70,1.74,1.03,39,1.13,43,,1.0,66.0,4,4,38.0,38,3420,419,,,27,27.0,,2007-2008
335,Portsmouth,,,,,,,,,0.84,32,2.05,78,1.95,1.11,42,1.21,46,,3.0,58.0,4,7,38.0,38,3420,419,,,28,28.2,,2007-2008
336,Reading,,,,,,,,,0.68,26,1.76,67,1.71,1.03,39,1.08,41,,5.0,61.0,2,4,38.0,38,3420,418,,,26,27.6,,2007-2008
337,Sunderland,,,,,,,,,0.55,21,1.5,57,1.47,0.92,35,0.95,36,,4.0,67.0,1,2,38.0,38,3420,418,,,31,24.9,,2007-2008
338,Tottenham,,,,,,,,,0.92,35,2.63,100,2.53,1.61,61,1.71,65,,1.0,52.0,4,6,38.0,38,3420,418,,,30,25.5,,2007-2008
339,West Ham,,,,,,,,,0.76,29,1.79,68,1.74,0.97,37,1.03,39,,2.0,66.0,2,2,38.0,38,3420,418,,,28,26.5,,2007-2008
340,Wigan Athletic,,,,,,,,,0.5,19,1.37,52,1.26,0.76,29,0.87,33,,4.0,60.0,4,5,38.0,38,3420,418,,,27,27.7,,2007-2008
341,Arsenal,,,,,,,,,1.26,48,2.84,108,2.58,1.32,50,1.58,60,,3.0,51.0,10,11,38.0,38,3420,417,,,25,25.1,,2006-2007
342,Aston Villa,,,,,,,,,0.82,31,2.0,76,1.84,1.03,39,1.18,45,,1.0,47.0,6,8,38.0,38,3420,436,,,30,25.5,,2006-2007
343,Blackburn,,,,,,,,,0.87,33,2.16,82,2.03,1.16,44,1.29,49,,8.0,81.0,5,7,38.0,38,3420,399,,,29,28.2,,2006-2007
344,Bolton,,,,,,,,,0.92,35,2.11,80,1.95,1.03,39,1.18,45,,4.0,84.0,6,7,38.0,38,3420,423,,,23,28.2,,2006-2007
345,Charlton Ath,,,,,,,,,0.58,22,1.42,54,1.32,0.74,28,0.84,32,,4.0,60.0,4,4,38.0,38,3420,429,,,29,27.0,,2006-2007
346,Chelsea,,,,,,,,,1.29,49,2.82,107,2.74,1.45,55,1.53,58,,4.0,65.0,3,4,38.0,38,3420,418,,,26,26.7,,2006-2007
347,Everton,,,,,,,,,0.92,35,2.24,85,2.03,1.11,42,1.32,50,,2.0,70.0,8,8,38.0,38,3420,411,,,26,27.0,,2006-2007
348,Fulham,,,,,,,,,0.71,27,1.66,63,1.58,0.87,33,0.95,36,,3.0,60.0,3,3,38.0,38,3420,424,,,25,28.3,,2006-2007
349,Liverpool,,,,,,,,,1.16,44,2.63,100,2.47,1.32,50,1.47,56,,0.0,43.0,6,7,38.0,38,3420,419,,,29,26.1,,2006-2007
350,Manchester City,,,,,,,,,0.55,21,1.29,49,1.24,0.68,26,0.74,28,,4.0,58.0,2,4,38.0,38,3420,394,,,29,26.1,,2006-2007
351,Manchester Utd,,,,,,,,,1.58,60,3.68,140,3.55,1.97,75,2.11,80,,1.0,58.0,5,6,38.0,38,3420,418,,,25,27.3,,2006-2007
352,Middlesbrough,,,,,,,,,0.87,33,2.0,76,1.89,1.03,39,1.13,43,,2.0,65.0,4,5,38.0,38,3420,418,,,27,25.4,,2006-2007
353,Newcastle Utd,,,,,,,,,0.68,26,1.68,64,1.55,0.87,33,1.0,38,,1.0,69.0,5,5,38.0,38,3420,418,,,29,26.1,,2006-2007
354,Portsmouth,,,,,,,,,0.82,31,1.87,71,1.82,1.0,38,1.05,40,,1.0,51.0,2,3,38.0,38,3420,405,,,25,28.3,,2006-2007
355,Reading,,,,,,,,,1.0,38,2.26,86,2.18,1.18,45,1.26,48,,3.0,41.0,3,3,38.0,38,3420,418,,,23,26.9,,2006-2007
356,Sheffield Utd,,,,,,,,,0.55,21,1.37,52,1.32,0.76,29,0.82,31,,2.0,71.0,2,4,38.0,38,3420,408,,,32,26.0,,2006-2007
357,Tottenham,,,,,,,,,0.97,37,2.45,93,2.32,1.34,51,1.47,56,,4.0,51.0,5,5,38.0,38,3420,418,,,26,25.1,,2006-2007
358,Watford,,,,,,,,,0.47,18,1.11,42,1.03,0.55,21,0.63,24,,2.0,48.0,3,3,38.0,38,3420,390,,,33,25.2,,2006-2007
359,West Ham,,,,,,,,,0.68,26,1.61,61,1.58,0.89,34,0.92,35,,2.0,86.0,1,3,38.0,38,3420,442,,,30,25.4,,2006-2007
360,Wigan Athletic,,,,,,,,,0.63,24,1.61,61,1.53,0.89,34,0.97,37,,3.0,81.0,3,6,38.0,38,3420,415,,,30,27.7,,2006-2007
361,Arsenal,,,,,,,,,1.21,46,2.95,112,2.84,1.63,62,1.74,66,,2.0,55.0,4,7,38.0,38,3420,418,,,27,26.2,,2005-2006
362,Aston Villa,,,,,,,,,0.92,35,2.0,76,1.97,1.05,40,1.08,41,,2.0,63.0,1,4,38.0,38,3420,416,,,27,25.2,,2005-2006
363,Birmingham City,,,,,,,,,0.5,19,1.18,45,1.13,0.63,24,0.68,26,,7.0,53.0,2,2,38.0,38,3420,417,,,30,28.0,,2005-2006
364,Blackburn,,,,,,,,,0.76,29,2.05,78,1.95,1.18,45,1.29,49,,6.0,78.0,4,4,38.0,38,3420,418,,,25,28.0,,2005-2006
365,Bolton,,,,,,,,,0.87,33,2.11,80,2.05,1.18,45,1.24,47,,3.0,64.0,2,4,38.0,38,3420,419,,,24,28.0,,2005-2006
366,Charlton Ath,,,,,,,,,0.76,29,1.84,70,1.74,0.97,37,1.08,41,,2.0,44.0,4,4,38.0,38,3420,422,,,28,27.9,,2005-2006
367,Chelsea,,,,,,,,,1.32,50,3.18,121,3.08,1.76,67,1.87,71,,5.0,64.0,4,4,38.0,38,3420,418,,,25,25.9,,2005-2006
368,Everton,,,,,,,,,0.66,25,1.5,57,1.47,0.82,31,0.84,32,,7.0,66.0,1,3,38.0,38,3420,422,,,28,27.8,,2005-2006
369,Fulham,,,,,,,,,0.92,35,2.16,82,2.05,1.13,43,1.24,47,,2.0,65.0,4,4,38.0,38,3420,417,,,27,27.9,,2005-2006
370,Liverpool,,,,,,,,,1.11,42,2.53,96,2.42,1.32,50,1.42,54,,5.0,50.0,4,5,38.0,38,3420,415,,,24,26.3,,2005-2006
371,Manchester City,,,,,,,,,0.82,31,1.92,73,1.89,1.08,41,1.11,42,,4.0,70.0,1,2,38.0,38,3420,418,,,26,27.3,,2005-2006
372,Manchester Utd,,,,,,,,,1.32,50,3.11,118,3.05,1.74,66,1.79,68,,2.0,61.0,2,3,38.0,38,3420,417,,,26,26.4,,2005-2006
373,Middlesbrough,,,,,,,,,0.89,34,2.16,82,2.03,1.13,43,1.26,48,,3.0,54.0,5,5,38.0,38,3420,413,,,37,26.5,,2005-2006
374,Newcastle Utd,,,,,,,,,0.82,31,2.0,76,1.87,1.05,40,1.18,45,,6.0,64.0,5,5,38.0,38,3420,414,,,26,26.7,,2005-2006
375,Portsmouth,,,,,,,,,0.58,22,1.53,58,1.47,0.89,34,0.95,36,,1.0,55.0,2,2,38.0,38,3420,419,,,34,26.7,,2005-2006
376,Sunderland,,,,,,,,,0.39,15,1.03,39,0.97,0.58,22,0.63,24,,4.0,69.0,2,2,38.0,38,3420,410,,,28,25.0,,2005-2006
377,Tottenham,,,,,,,,,1.0,38,2.37,90,2.26,1.26,48,1.37,52,,5.0,51.0,4,6,38.0,38,3420,414,,,29,24.9,,2005-2006
378,West Brom,,,,,,,,,0.47,18,1.29,49,1.26,0.79,30,0.82,31,,2.0,47.0,1,2,38.0,38,3420,418,,,29,26.4,,2005-2006
379,West Ham,,,,,,,,,0.76,29,2.03,77,1.95,1.18,45,1.26,48,,2.0,50.0,3,5,38.0,38,3420,415,,,28,26.0,,2005-2006
380,Wigan Athletic,,,,,,,,,0.79,30,1.95,74,1.92,1.13,43,1.16,44,,4.0,54.0,1,1,38.0,38,3420,420,,,25,28.3,,2005-2006
381,Arsenal,,,,,,,,,1.79,68,4.05,154,3.97,2.18,83,2.26,86,,1.0,46.0,3,4,38.0,38,3420,417,,,25,26.2,,2004-2005
382,Aston Villa,,,,,,,,,0.89,34,2.03,77,1.95,1.05,40,1.13,43,,2.0,55.0,3,6,38.0,38,3420,421,,,22,25.7,,2004-2005
383,Birmingham City,,,,,,,,,0.63,24,1.61,61,1.55,0.92,35,0.97,37,,3.0,62.0,2,2,38.0,38,3420,417,,,27,27.9,,2004-2005
384,Blackburn,,,,,,,,,0.63,24,1.45,55,1.39,0.76,29,0.82,31,,5.0,73.0,2,3,38.0,38,3420,414,,,31,27.8,,2004-2005
385,Bolton,,,,,,,,,0.87,33,2.16,82,2.03,1.16,44,1.29,49,,2.0,58.0,5,6,38.0,38,3420,418,,,25,28.6,,2004-2005
386,Charlton Ath,,,,,,,,,0.74,28,1.82,69,1.82,1.08,41,1.08,41,,4.0,38.0,0,0,38.0,38,3420,414,,,22,28.0,,2004-2005
387,Chelsea,,,,,,,,,1.53,58,3.39,129,3.26,1.74,66,1.87,71,,0.0,49.0,5,6,38.0,38,3420,422,,,30,25.2,,2004-2005
388,Crystal Palace,,,,,,,,,0.68,26,1.82,69,1.55,0.87,33,1.13,43,,3.0,58.0,10,12,38.0,38,3420,418,,,27,25.7,,2004-2005
389,Everton,,,,,,,,,0.89,34,2.08,79,2.03,1.13,43,1.18,45,,4.0,56.0,2,3,38.0,38,3420,414,,,22,28.5,,2004-2005
390,Fulham,,,,,,,,,1.03,39,2.39,91,2.34,1.32,50,1.37,52,,7.0,56.0,2,4,38.0,38,3420,418,,,24,27.7,,2004-2005
391,Liverpool,,,,,,,,,1.11,42,2.39,91,2.32,1.21,46,1.29,49,,2.0,46.0,3,5,38.0,38,3420,414,,,29,26.2,,2004-2005
392,Manchester City,,,,,,,,,0.87,33,2.05,78,1.92,1.05,40,1.18,45,,3.0,44.0,5,6,38.0,38,3420,418,,,25,27.3,,2004-2005
393,Manchester Utd,,,,,,,,,1.18,45,2.68,102,2.61,1.42,54,1.5,57,,5.0,56.0,3,4,38.0,38,3420,416,,,26,26.0,,2004-2005
394,Middlesbrough,,,,,,,,,1.03,39,2.32,88,2.29,1.26,48,1.29,49,,2.0,54.0,1,1,38.0,38,3420,418,,,27,28.4,,2004-2005
395,Newcastle Utd,,,,,,,,,0.84,32,2.0,76,1.92,1.08,41,1.16,44,,5.0,63.0,3,3,38.0,38,3420,435,,,27,25.9,,2004-2005
396,Norwich City,,,,,,,,,0.76,29,1.84,70,1.76,1.0,38,1.08,41,,2.0,36.0,3,4,38.0,38,3420,422,,,25,27.6,,2004-2005
397,Portsmouth,,,,,,,,,0.79,30,1.87,71,1.71,0.92,35,1.08,41,,2.0,52.0,6,6,38.0,38,3420,386,,,26,27.6,,2004-2005
398,Southampton,,,,,,,,,0.79,30,1.95,74,1.87,1.08,41,1.16,44,,2.0,45.0,3,3,38.0,38,3420,415,,,35,28.4,,2004-2005
399,Tottenham,,,,,,,,,0.84,32,2.08,79,2.05,1.21,46,1.24,47,,1.0,55.0,1,1,38.0,38,3420,412,,,31,24.8,,2004-2005
400,West Brom,,,,,,,,,0.66,25,1.55,59,1.5,0.84,32,0.89,34,,5.0,41.0,2,3,38.0,38,3420,422,,,27,27.1,,2004-2005
401,Arsenal,,,,,,,,,1.37,52,3.18,121,3.0,1.63,62,1.82,69,,3.0,51.0,7,7,38.0,38,3420,419,,,22,27.3,,2003-2004
402,Aston Villa,,,,,,,,,0.89,34,2.16,82,2.05,1.16,44,1.26,48,,3.0,52.0,4,5,38.0,38,3420,418,,,23,25.7,,2003-2004
403,Birmingham City,,,,,,,,,0.76,29,1.89,72,1.79,1.03,39,1.13,43,,5.0,45.0,4,5,38.0,38,3420,428,,,27,27.4,,2003-2004
404,Blackburn,,,,,,,,,1.03,39,2.39,91,2.39,1.37,52,1.37,52,,3.0,58.0,0,0,38.0,38,3420,412,,,28,28.2,,2003-2004
405,Bolton,,,,,,,,,0.92,35,2.16,82,2.13,1.21,46,1.24,47,,0.0,63.0,1,1,38.0,38,3420,433,,,24,28.5,,2003-2004
406,Charlton Ath,,,,,,,,,0.76,29,2.08,79,1.92,1.16,44,1.32,50,,3.0,35.0,6,8,38.0,38,3420,406,,,24,28.4,,2003-2004
407,Chelsea,,,,,,,,,1.53,58,3.29,125,3.18,1.66,63,1.76,67,,3.0,44.0,4,4,38.0,38,3420,438,,,27,25.9,,2003-2004
408,Everton,,,,,,,,,0.82,31,1.92,73,1.89,1.08,41,1.11,42,,3.0,53.0,1,1,38.0,38,3420,414,,,27,27.4,,2003-2004
409,Fulham,,,,,,,,,0.84,32,2.21,84,2.16,1.32,50,1.37,52,,3.0,59.0,2,3,38.0,38,3420,421,,,30,27.0,,2003-2004
410,Leeds United,,,,,,,,,0.74,28,1.79,68,1.68,0.95,36,1.05,40,,5.0,70.0,4,4,38.0,38,3420,404,,,30,25.1,,2003-2004
411,Leicester City,,,,,,,,,0.97,37,2.16,82,2.11,1.13,43,1.18,45,,8.0,58.0,2,3,38.0,38,3420,391,,,30,29.3,,2003-2004
412,Liverpool,,,,,,,,,0.95,36,2.34,89,2.13,1.18,45,1.39,53,,1.0,46.0,8,10,38.0,38,3420,408,,,26,26.0,,2003-2004
413,Manchester City,,,,,,,,,0.97,37,2.34,89,2.24,1.26,48,1.37,52,,3.0,46.0,4,4,38.0,38,3420,418,,,24,27.9,,2003-2004
414,Manchester Utd,,,,,,,,,1.42,54,3.08,117,3.05,1.63,62,1.66,63,,3.0,42.0,1,4,38.0,38,3420,418,,,22,25.8,,2003-2004
415,Middlesbrough,,,,,,,,,0.74,28,1.84,70,1.76,1.03,39,1.11,42,,1.0,52.0,3,5,38.0,38,3420,418,,,27,27.6,,2003-2004
416,Newcastle Utd,,,,,,,,,0.87,33,2.26,86,2.08,1.21,46,1.39,53,,3.0,47.0,7,10,38.0,38,3420,429,,,24,25.8,,2003-2004
417,Portsmouth,,,,,,,,,0.82,31,2.11,80,2.03,1.21,46,1.29,49,,3.0,60.0,3,3,38.0,38,3420,433,,,32,28.6,,2003-2004
418,Southampton,,,,,,,,,0.71,27,1.84,70,1.79,1.08,41,1.13,43,,3.0,51.0,2,2,38.0,38,3420,403,,,28,28.1,,2003-2004
419,Tottenham,,,,,,,,,0.87,33,2.11,80,2.03,1.16,44,1.24,47,,0.0,45.0,3,3,38.0,38,3420,407,,,28,26.2,,2003-2004
420,Wolves,,,,,,,,,0.66,25,1.68,64,1.66,1.0,38,1.03,39,,2.0,65.0,1,4,38.0,38,3420,428,,,27,29.6,,2003-2004
421,Arsenal,,,,,,,,,1.74,66,3.95,150,3.82,2.08,79,2.21,84,,2.0,47.0,5,6,38.0,38,3420,418,,,28,27.8,,2002-2003
422,Aston Villa,,,,,,,,,0.76,29,1.87,71,1.79,1.03,39,1.11,42,,4.0,58.0,3,4,38.0,38,3420,418,,,27,26.2,,2002-2003
423,Birmingham City,,,,,,,,,0.68,26,1.74,66,1.63,0.95,36,1.05,40,,3.0,66.0,4,5,38.0,38,3420,418,,,33,27.9,,2002-2003
424,Blackburn,,,,,,,,,1.0,38,2.32,88,2.18,1.18,45,1.32,50,,4.0,55.0,5,6,38.0,38,3420,418,,,28,27.7,,2002-2003
425,Bolton,,,,,,,,,0.63,24,1.63,62,1.61,0.97,37,1.0,38,,3.0,54.0,1,2,38.0,38,3420,418,,,27,29.1,,2002-2003
426,Charlton Ath,,,,,,,,,0.63,24,1.76,67,1.66,1.03,39,1.13,43,,1.0,47.0,4,5,38.0,38,3420,420,,,26,27.0,,2002-2003
427,Chelsea,,,,,,,,,1.05,40,2.82,107,2.74,1.68,64,1.76,67,,1.0,54.0,3,3,38.0,38,3420,416,,,23,27.8,,2002-2003
428,Everton,,,,,,,,,0.84,32,2.11,80,2.0,1.16,44,1.26,48,,5.0,39.0,4,4,38.0,38,3420,392,,,28,27.4,,2002-2003
429,Fulham,,,,,,,,,0.61,23,1.61,61,1.45,0.84,32,1.0,38,,6.0,46.0,6,7,38.0,38,3420,417,,,27,27.3,,2002-2003
430,Leeds United,,,,,,,,,1.03,39,2.45,93,2.34,1.32,50,1.42,54,,1.0,62.0,4,5,38.0,38,3420,401,,,29,25.8,,2002-2003
431,Liverpool,,,,,,,,,1.29,49,2.89,110,2.79,1.5,57,1.61,61,,1.0,35.0,4,6,38.0,38,3420,418,,,23,24.9,,2002-2003
432,Manchester City,,,,,,,,,1.05,40,2.29,87,2.24,1.18,45,1.24,47,,5.0,40.0,2,2,38.0,38,3420,419,,,26,27.8,,2002-2003
433,Manchester Utd,,,,,,,,,1.47,56,3.39,129,3.16,1.68,64,1.92,73,,1.0,39.0,9,9,38.0,38,3420,418,,,26,27.0,,2002-2003
