,Squad,npxG,npxG,npxG+xAG,npxG+xAG,xAG,xAG,xG,xG,Ast,Ast,G+A,G+A,G+A-PK,G-PK,G-PK,Gls,Gls,xG+xAG,CrdR,CrdY,PK,PKatt,90s,MP,Min,Starts,PrgC,PrgP,# Pl,Age,Poss,Season
48,Everton,35.8,0.94,64.3,1.69,28.5,0.75,41.2,1.09,0.76,29,1.87,71,1.71,0.95,36,1.11,42,1.83,6.0,82.0,6,7,38.0,38,3420,418,512.0,1100.0,33,26.7,40.0,2021-2022
49,Leeds United,40.4,1.06,71.8,1.89,31.3,0.82,44.4,1.17,0.68,26,1.79,68,1.66,0.97,37,1.11,42,1.99,3.0,101.0,5,5,38.0,38,3420,418,671.0,1483.0,29,26.1,52.3,2021-2022
50,Leicester City,46.2,1.22,80.4,2.12,34.2,0.9,47.8,1.26,1.21,46,2.84,108,2.79,1.58,60,1.63,62,2.16,1.0,55.0,2,2,38.0,38,3420,418,622.0,1356.0,28,26.5,52.0,2021-2022
51,Liverpool,82.7,2.18,146.2,3.85,63.5,1.67,88.7,2.33,1.87,71,4.34,165,4.16,2.29,87,2.47,94,4.0,1.0,50.0,7,8,38.0,38,3420,418,885.0,2243.0,27,27.7,62.7,2021-2022
52,Manchester City,81.4,2.14,146.9,3.87,65.5,1.72,88.7,2.33,1.66,63,4.18,159,4.0,2.34,89,2.53,96,4.06,1.0,42.0,7,9,38.0,38,3420,418,1145.0,2421.0,26,27.0,67.9,2021-2022
53,Manchester Utd,51.9,1.36,94.3,2.48,42.5,1.12,55.8,1.47,1.21,46,2.68,102,2.61,1.39,53,1.47,56,2.59,2.0,77.0,3,5,38.0,38,3420,418,784.0,1568.0,29,27.2,52.7,2021-2022
54,Newcastle Utd,35.9,0.94,61.7,1.62,25.8,0.68,38.1,1.0,0.61,23,1.68,64,1.61,1.0,38,1.08,41,1.68,2.0,81.0,3,3,38.0,38,3420,418,544.0,923.0,29,27.5,40.4,2021-2022
55,Norwich City,30.0,0.79,54.3,1.43,24.3,0.64,32.3,0.85,0.42,16,0.97,37,0.89,0.47,18,0.55,21,1.49,1.0,57.0,3,3,38.0,38,3420,418,566.0,1031.0,28,26.2,42.9,2021-2022
56,Southampton,41.6,1.1,74.1,1.95,32.5,0.85,44.8,1.18,0.68,26,1.76,67,1.66,0.97,37,1.08,41,2.03,2.0,65.0,4,4,38.0,38,3420,418,728.0,1326.0,25,25.7,47.7,2021-2022
57,Tottenham,57.3,1.51,104.4,2.75,47.0,1.24,61.2,1.61,1.32,50,2.97,113,2.84,1.53,58,1.66,63,2.85,1.0,69.0,5,5,38.0,38,3420,418,791.0,1459.0,25,26.5,51.8,2021-2022
58,Watford,38.4,1.01,70.9,1.87,32.5,0.86,40.0,1.05,0.68,26,1.55,59,1.53,0.84,32,0.87,33,1.91,3.0,63.0,1,2,38.0,38,3420,418,557.0,1070.0,30,28.4,40.7,2021-2022
59,West Ham,46.8,1.23,84.2,2.22,37.4,0.99,51.4,1.35,1.21,46,2.74,104,2.63,1.42,54,1.53,58,2.34,3.0,52.0,4,6,38.0,38,3420,418,646.0,1449.0,25,28.2,47.9,2021-2022
60,Wolves,36.8,0.97,63.2,1.66,26.4,0.69,37.5,0.99,0.58,22,1.5,57,1.47,0.89,34,0.92,35,1.68,2.0,62.0,1,1,38.0,38,3420,418,723.0,1283.0,26,27.3,49.5,2021-2022
61,Arsenal,47.0,1.24,82.1,2.16,35.1,0.92,51.8,1.36,1.0,38,2.39,91,2.24,1.24,47,1.39,53,2.29,5.0,49.0,6,6,38.0,38,3420,418,758.0,1760.0,29,25.9,53.5,2020-2021
62,Aston Villa,47.9,1.26,85.3,2.25,37.4,0.98,52.5,1.38,1.0,38,2.37,90,2.24,1.24,47,1.37,52,2.37,4.0,71.0,5,6,38.0,38,3420,418,629.0,1420.0,24,25.2,48.5,2020-2021
63,Brighton,43.8,1.15,77.0,2.03,33.2,0.87,50.9,1.34,0.63,24,1.66,63,1.5,0.87,33,1.03,39,2.21,6.0,49.0,6,9,38.0,38,3420,418,685.0,1516.0,27,25.8,51.1,2020-2021
64,Burnley,36.9,0.97,64.6,1.7,27.7,0.73,39.3,1.03,0.53,20,1.37,52,1.29,0.76,29,0.84,32,1.76,0.0,48.0,3,3,38.0,38,3420,418,389.0,1012.0,25,28.3,42.1,2020-2021
65,Chelsea,54.5,1.43,96.0,2.53,41.5,1.09,62.4,1.64,1.0,38,2.47,94,2.26,1.26,48,1.47,56,2.73,3.0,51.0,8,10,38.0,38,3420,418,895.0,1798.0,27,26.0,60.9,2020-2021
66,Crystal Palace,31.0,0.82,54.6,1.44,23.6,0.62,34.1,0.9,0.76,29,1.79,68,1.71,0.95,36,1.03,39,1.52,2.0,56.0,3,4,38.0,38,3420,418,526.0,1132.0,24,29.1,40.6,2020-2021
67,Everton,41.9,1.1,72.6,1.91,30.7,0.81,45.7,1.2,0.84,32,2.03,77,1.92,1.08,41,1.18,45,2.01,2.0,59.0,4,5,38.0,38,3420,418,604.0,1184.0,29,26.3,46.4,2020-2021
68,Fulham,35.9,0.95,62.2,1.64,26.3,0.69,40.5,1.07,0.47,18,1.16,44,1.08,0.61,23,0.68,26,1.76,3.0,67.0,3,6,38.0,38,3420,418,727.0,1354.0,28,25.2,49.7,2020-2021
69,Leeds United,52.5,1.38,94.3,2.48,41.9,1.1,55.6,1.46,1.18,45,2.76,105,2.66,1.47,56,1.58,60,2.57,1.0,61.0,4,4,38.0,38,3420,418,811.0,1633.0,23,26.1,57.3,2020-2021
70,Leicester City,46.3,1.22,80.1,2.11,33.7,0.89,55.8,1.47,1.18,45,2.87,109,2.61,1.42,54,1.68,64,2.36,0.0,61.0,10,12,38.0,38,3420,418,666.0,1464.0,27,26.5,54.3,2020-2021
71,Liverpool,62.9,1.66,111.2,2.93,48.3,1.27,67.5,1.78,1.13,43,2.84,108,2.68,1.55,59,1.71,65,3.05,0.0,40.0,6,6,38.0,38,3420,418,886.0,2057.0,28,26.8,62.1,2020-2021
72,Manchester City,61.2,1.61,106.6,2.81,45.4,1.19,68.2,1.8,1.45,55,3.61,137,3.47,2.03,77,2.16,82,2.99,2.0,46.0,5,9,38.0,38,3420,418,1096.0,2051.0,24,26.1,63.5,2020-2021
73,Manchester Utd,51.4,1.35,93.1,2.45,41.6,1.1,60.1,1.58,1.34,51,3.18,121,2.92,1.58,60,1.84,70,2.68,1.0,64.0,10,11,38.0,38,3420,418,877.0,1832.0,29,25.6,55.7,2020-2021
74,Newcastle Utd,37.8,1.0,66.8,1.76,29.0,0.76,43.4,1.14,0.68,26,1.84,70,1.68,1.0,38,1.16,44,1.91,3.0,65.0,6,7,38.0,38,3420,418,467.0,903.0,27,27.1,38.8,2020-2021
75,Sheffield Utd,29.5,0.78,54.4,1.43,24.9,0.66,32.6,0.86,0.34,13,0.84,32,0.76,0.42,16,0.5,19,1.52,3.0,73.0,3,4,38.0,38,3420,418,491.0,1196.0,27,26.7,41.7,2020-2021
76,Southampton,36.6,0.96,62.5,1.64,25.8,0.68,41.2,1.09,0.87,33,2.11,80,1.97,1.11,42,1.24,47,1.77,3.0,52.0,5,6,38.0,38,3420,418,626.0,1195.0,29,26.6,52.0,2020-2021
77,Tottenham,49.2,1.29,84.4,2.22,35.3,0.93,53.1,1.4,1.32,50,3.05,116,2.92,1.61,61,1.74,66,2.33,2.0,57.0,5,5,38.0,38,3420,418,633.0,1330.0,24,27.2,51.6,2020-2021
78,West Brom,32.7,0.86,57.1,1.5,24.4,0.64,35.8,0.94,0.53,20,1.39,53,1.29,0.76,29,0.87,33,1.59,4.0,51.0,4,4,38.0,38,3420,418,441.0,1027.0,30,26.4,37.9,2020-2021
79,West Ham,52.1,1.37,91.7,2.41,39.6,1.04,55.4,1.46,1.21,46,2.79,106,2.74,1.53,58,1.58,60,2.5,3.0,50.0,2,4,38.0,38,3420,418,658.0,1282.0,24,27.8,43.2,2020-2021
80,Wolves,33.4,0.88,57.6,1.51,24.1,0.63,36.5,0.96,0.55,21,1.45,55,1.34,0.79,30,0.89,34,1.6,1.0,55.0,4,4,38.0,38,3420,418,800.0,1283.0,27,26.3,49.3,2020-2021
81,Arsenal,44.6,1.17,76.1,2.0,31.4,0.83,47.0,1.24,0.92,35,2.39,91,2.32,1.39,53,1.47,56,2.06,5.0,88.0,3,3,38.0,38,3420,418,815.0,1641.0,29,25.8,53.8,2019-2020
82,Aston Villa,41.8,1.1,76.0,2.0,34.2,0.9,44.3,1.16,0.84,32,1.89,72,1.87,1.03,39,1.05,40,2.06,1.0,70.0,1,3,38.0,38,3420,418,639.0,1247.0,28,25.7,44.1,2019-2020
83,Bournemouth,41.7,1.1,72.3,1.9,30.6,0.8,44.8,1.18,0.63,24,1.63,62,1.53,0.89,34,1.0,38,1.98,3.0,78.0,4,4,38.0,38,3420,418,601.0,1256.0,27,25.2,44.1,2019-2020
84,Brighton,43.8,1.15,75.4,1.99,31.6,0.83,45.4,1.2,0.63,24,1.55,59,1.53,0.89,34,0.92,35,2.03,2.0,59.0,1,2,38.0,38,3420,418,669.0,1675.0,25,26.4,52.2,2019-2020
85,Burnley,45.3,1.19,77.7,2.04,32.4,0.85,47.4,1.25,0.79,30,1.87,71,1.79,1.0,38,1.08,41,2.1,0.0,67.0,3,3,38.0,38,3420,418,437.0,890.0,22,28.0,41.9,2019-2020
86,Chelsea,64.4,1.7,111.1,2.92,46.7,1.23,69.2,1.82,1.21,46,3.03,115,2.84,1.63,62,1.82,69,3.05,0.0,60.0,7,7,38.0,38,3420,418,983.0,1897.0,27,25.5,60.4,2019-2020
87,Crystal Palace,33.6,0.88,59.5,1.57,26.0,0.68,35.8,0.94,0.53,20,1.29,49,1.21,0.68,26,0.76,29,1.63,2.0,62.0,3,3,38.0,38,3420,418,596.0,1223.0,25,29.4,44.8,2019-2020
88,Everton,50.0,1.32,88.1,2.32,38.1,1.0,50.8,1.34,0.84,32,1.95,74,1.92,1.08,41,1.11,42,2.34,3.0,76.0,1,1,38.0,38,3420,418,623.0,1430.0,24,25.5,49.0,2019-2020
89,Leicester City,56.7,1.49,101.6,2.67,44.9,1.18,62.2,1.64,1.26,48,2.97,113,2.84,1.58,60,1.71,65,2.82,3.0,43.0,5,7,38.0,38,3420,418,739.0,1612.0,24,26.1,57.1,2019-2020
90,Liverpool,65.0,1.71,118.0,3.1,53.0,1.39,68.9,1.81,1.82,69,4.0,152,3.87,2.05,78,2.18,83,3.21,1.0,38.0,5,5,38.0,38,3420,418,967.0,1941.0,24,26.6,62.9,2019-2020
91,Manchester City,83.6,2.2,152.0,4.0,68.4,1.8,92.0,2.42,1.82,69,4.45,169,4.29,2.47,94,2.63,100,4.22,4.0,64.0,6,11,38.0,38,3420,418,1199.0,2460.0,24,26.9,66.2,2019-2020
92,Manchester Utd,51.2,1.35,89.7,2.36,38.5,1.01,62.2,1.64,1.13,43,2.84,108,2.58,1.45,55,1.71,65,2.65,0.0,73.0,10,14,38.0,38,3420,418,926.0,1788.0,29,24.8,55.8,2019-2020
93,Newcastle Utd,34.8,0.91,61.7,1.62,26.9,0.71,35.5,0.94,0.76,29,1.76,67,1.76,1.0,38,1.0,38,1.64,3.0,66.0,0,1,38.0,38,3420,418,537.0,844.0,28,26.5,39.0,2019-2020
94,Norwich City,35.4,0.93,62.8,1.65,27.4,0.72,37.0,0.97,0.47,18,1.13,43,1.08,0.61,23,0.66,25,1.69,3.0,68.0,2,2,38.0,38,3420,418,673.0,1169.0,30,26.0,49.3,2019-2020
95,Sheffield Utd,42.2,1.11,76.3,2.01,34.0,0.9,43.0,1.13,0.66,25,1.61,61,1.58,0.92,35,0.95,36,2.03,2.0,63.0,1,1,38.0,38,3420,418,493.0,1352.0,26,26.9,43.1,2019-2020
96,Southampton,52.1,1.37,88.5,2.33,36.4,0.96,56.1,1.48,0.84,32,2.18,83,2.13,1.29,49,1.34,51,2.43,4.0,55.0,2,5,38.0,38,3420,418,628.0,1335.0,25,25.9,48.9,2019-2020
97,Tottenham,44.7,1.18,77.3,2.03,32.6,0.86,47.9,1.26,1.03,39,2.5,95,2.42,1.39,53,1.47,56,2.12,3.0,84.0,3,4,38.0,38,3420,418,768.0,1410.0,29,26.7,52.0,2019-2020
98,Watford,42.6,1.12,74.0,1.95,31.4,0.83,48.9,1.29,0.55,21,1.47,56,1.29,0.74,28,0.92,35,2.11,3.0,80.0,7,8,38.0,38,3420,418,578.0,1168.0,26,28.9,42.9,2019-2020
99,West Ham,45.4,1.2,82.2,2.16,36.7,0.97,48.6,1.28,0.95,36,2.24,85,2.13,1.18,45,1.29,49,2.24,1.0,64.0,4,4,38.0,38,3420,418,666.0,1377.0,29,27.4,44.1,2019-2020
100,Wolves,51.0,1.34,88.5,2.33,37.5,0.99,54.1,1.42,0.89,34,2.18,83,2.08,1.18,45,1.29,49,2.41,2.0,61.0,4,4,38.0,38,3420,418,858.0,1338.0,21,26.6,48.3,2019-2020
101,Arsenal,56.0,1.47,102.7,2.7,46.7,1.23,60.1,1.58,1.37,52,3.18,121,3.08,1.71,65,1.82,69,2.81,2.0,73.0,4,5,38.0,38,3420,418,868.0,1874.0,28,26.7,58.1,2018-2019
102,Bournemouth,46.2,1.22,85.0,2.24,38.8,1.02,53.3,1.4,1.13,43,2.58,98,2.39,1.26,48,1.45,55,2.42,1.0,60.0,7,9,38.0,38,3420,418,738.0,1435.0,28,26.6,46.9,2018-2019
103,Brighton,30.7,0.81,55.2,1.45,24.5,0.64,35.3,0.93,0.63,24,1.55,59,1.42,0.79,30,0.92,35,1.57,4.0,61.0,5,6,38.0,38,3420,418,475.0,1150.0,21,27.4,42.4,2018-2019
104,Burnley,42.8,1.13,74.0,1.95,31.2,0.82,44.4,1.17,0.84,32,1.97,75,1.92,1.08,41,1.13,43,1.99,1.0,75.0,2,2,38.0,38,3420,418,421.0,1032.0,23,28.0,41.2,2018-2019
105,Cardiff City,39.2,1.03,66.8,1.76,27.6,0.73,42.4,1.11,0.53,20,1.39,53,1.32,0.79,30,0.87,33,1.84,1.0,66.0,3,4,38.0,38,3420,418,434.0,918.0,25,27.7,35.4,2018-2019
106,Chelsea,54.6,1.44,99.6,2.62,44.9,1.18,58.6,1.54,1.37,52,2.97,113,2.84,1.47,56,1.61,61,2.72,0.0,49.0,5,5,38.0,38,3420,418,1058.0,2155.0,24,27.3,62.9,2018-2019
107,Crystal Palace,39.2,1.03,68.7,1.81,29.5,0.78,47.6,1.25,0.87,33,2.13,81,1.87,1.0,38,1.26,48,2.03,2.0,58.0,10,11,38.0,38,3420,418,771.0,1458.0,26,27.4,45.2,2018-2019
108,Everton,45.7,1.2,79.4,2.09,33.7,0.89,49.7,1.31,0.89,34,2.29,87,2.24,1.34,51,1.39,53,2.19,4.0,56.0,2,5,38.0,38,3420,418,697.0,1581.0,23,25.7,51.5,2018-2019
109,Fulham,39.0,1.03,69.0,1.82,30.0,0.79,41.3,1.09,0.63,24,1.5,57,1.45,0.82,31,0.87,33,1.88,2.0,70.0,2,3,38.0,38,3420,418,628.0,1487.0,28,26.0,48.8,2018-2019
110,Huddersfield,28.0,0.74,47.9,1.26,19.9,0.52,28.8,0.76,0.34,13,0.89,34,0.87,0.53,20,0.55,21,1.28,4.0,56.0,1,1,38.0,38,3420,418,601.0,1248.0,31,26.2,47.2,2018-2019
111,Leicester City,47.3,1.24,84.9,2.23,37.6,0.99,52.4,1.38,0.89,34,2.16,82,2.03,1.13,43,1.26,48,2.37,5.0,60.0,5,7,38.0,38,3420,418,752.0,1537.0,25,25.9,50.9,2018-2019
112,Liverpool,68.4,1.8,118.2,3.11,49.8,1.31,73.7,1.94,1.45,55,3.71,141,3.53,2.08,79,2.26,86,3.25,2.0,39.0,7,7,38.0,38,3420,418,857.0,2008.0,23,26.1,61.8,2018-2019
113,Manchester City,81.3,2.14,146.7,3.86,65.5,1.72,84.3,2.22,1.87,71,4.26,162,4.18,2.32,88,2.39,91,3.94,1.0,44.0,3,4,38.0,38,3420,418,1325.0,2429.0,21,26.7,67.9,2018-2019
