,Squad,Cmp%,Ast,KP,1/3,CrsPA,Season
216,Tottenham,80.2,50,316,1035,54,2020-2021
217,West Brom,69.9,20,241,822,60,2020-2021
218,West Ham,75.3,46,340,1037,95,2020-2021
219,Wolves,80.9,21,345,1117,85,2020-2021
220,Arsenal,81.5,35,298,1164,63,2019-2020
221,Aston Villa,74.3,32,369,908,95,2019-2020
222,Bournemouth,73.5,24,280,921,49,2019-2020
223,Brighton,79.2,24,343,1124,62,2019-2020
224,Burnley,68.4,30,280,787,99,2019-2020
225,Chelsea,83.1,46,459,1463,108,2019-2020
226,Crystal Palace,74.9,20,265,910,47,2019-2020
227,Everton,75.7,32,340,987,93,2019-2020
228,Leicester City,80.7,48,405,1283,72,2019-2020
229,Liverpool,82.2,69,454,1630,93,2019-2020
230,Manchester City,87.1,69,582,1819,89,2019-2020
231,Manchester Utd,81.7,43,402,1350,50,2019-2020
232,Newcastle Utd,72.8,29,299,685,62,2019-2020
233,Norwich City,79.3,18,304,913,32,2019-2020
234,Sheffield Utd,71.9,25,269,1053,97,2019-2020
235,Southampton,71.5,32,340,1019,70,2019-2020
236,Tottenham,79.3,39,339,1077,47,2019-2020
237,Watford,71.2,21,303,848,69,2019-2020
238,West Ham,73.8,36,328,1083,80,2019-2020
239,Wolves,77.4,34,339,1015,83,2019-2020
240,Arsenal,81.7,52,363,1220,63,2018-2019
241,Bournemouth,76.5,43,330,979,76,2018-2019
242,Brighton,72.6,24,281,887,81,2018-2019
243,Burnley,68.5,32,254,879,82,2018-2019
244,Cardiff City,61.2,20,294,768,57,2018-2019
245,Chelsea,85.8,52,482,1640,65,2018-2019
246,Crystal Palace,75.3,33,358,1003,63,2018-2019
247,Everton,75.1,34,353,1102,94,2018-2019
248,Fulham,78.2,24,350,1106,69,2018-2019
249,Huddersfield,73.4,13,283,1023,93,2018-2019
250,Leicester City,76.8,34,381,1181,66,2018-2019
251,Liverpool,82.7,55,422,1520,75,2018-2019
252,Manchester City,86.9,71,516,1948,62,2018-2019
253,Manchester Utd,80.4,40,381,1219,58,2018-2019
254,Newcastle Utd,70.7,33,324,792,99,2018-2019
255,Southampton,72.0,27,337,1086,68,2018-2019
256,Tottenham,81.6,47,392,1283,90,2018-2019
257,Watford,73.9,39,310,944,55,2018-2019
258,West Ham,76.8,33,325,1005,55,2018-2019
259,Wolves,76.5,35,348,1053,73,2018-2019
260,Arsenal,82.9,61,444,1658,49,2017-2018
261,Bournemouth,74.9,36,348,1220,67,2017-2018
262,Brighton,72.3,25,283,885,65,2017-2018
263,Burnley,68.6,26,278,974,89,2017-2018
264,Chelsea,82.1,42,482,1431,74,2017-2018
265,Crystal Palace,73.3,26,331,1037,58,2017-2018
266,Everton,72.6,26,263,1044,70,2017-2018
267,Huddersfield,71.5,19,260,937,77,2017-2018
268,Leicester City,72.2,38,297,1010,72,2017-2018
269,Liverpool,81.8,58,488,1763,67,2017-2018
270,Manchester City,87.3,85,498,2026,44,2017-2018
271,Manchester Utd,81.2,53,377,1324,73,2017-2018
272,Newcastle Utd,70.7,29,321,911,75,2017-2018
273,Southampton,75.3,23,343,1154,77,2017-2018
274,Stoke City,69.5,28,288,921,60,2017-2018
275,Swansea City,75.8,20,223,973,57,2017-2018
276,Tottenham,81.4,51,462,1793,63,2017-2018
277,Watford,72.8,27,320,1071,79,2017-2018
278,West Brom,69.9,24,272,967,115,2017-2018
279,West Ham,72.7,29,278,989,78,2017-2018
